season_end,player_id,name,age,team,pos,g,gs,mp,per,ts_pct,usg_pct,ws,bpm,vorp,awards
1980,willira01,Ray Williams,25,NYK,PG,82,82,2582,21.6,.546,27.2,8.2,3.9,3.9,
1980,dawkida01,Darryl Dawkins,23,PHI,C,80,80,2541,14.6,.548,20.5,5.7,-1.2,0.5,
1980,johnsjo01,John Johnson,32,SEA,SF,81,,2533,13.3,.532,17.2,4.9,0.3,1.5,
1980,newlimi01,Mike Newlin,31,NJN,SG,78,,2510,17.7,.540,26.8,6.5,1.3,2.1,
1980,busedo01,Don Buse,29,PHO,PG,81,,2499,10.7,.485,11.7,4.6,0.2,1.4,DEF1
1980,ballagr01,Greg Ballard,25,WSB,SF,82,,2438,18.1,.532,21.6,6.9,2.0,2.5,
1980,walkefo01,Foots Walker,28,CLE,PG,76,,2422,15.3,.527,13.2,6.1,1.9,2.4,
1980,laceysa01,Sam Lacey,31,KCK,C,81,,2412,14.9,.490,16.1,5.6,3.6,3.4,
1980,englial01,Alex English,26,2TM,SF,78,15,2401,18.0,.536,23.4,5.3,0.4,1.5,
1980,englial01,Alex English,26,IND,SF,54,15,1526,17.7,.539,22.2,3.6,0.3,0.9,
1980,englial01,Alex English,26,DEN,SF,24,,875,18.5,.531,25.6,1.6,0.7,0.6,
1980,vanbrja01,Jan van Breda Kolff,28,NJN,SF,82,,2399,9.5,.533,11.0,3.9,-0.4,1.0,
1980,choneji01,Jim Chones,30,LAL,C,82,,2394,11.3,.521,16.9,3.5,-2.4,-0.2,
1980,boonero01,Ron Boone,33,2TM,SG,81,,2392,12.1,.501,21.5,1.0,-3.5,-1.0,
1980,boonero01,Ron Boone,33,LAL,SG,6,,106,3.0,.395,21.2,-0.2,-6.2,-0.2,
1980,boonero01,Ron Boone,33,UTA,SG,75,,2286,12.5,.506,21.5,1.2,-3.3,-0.8,
1980,wilkebo01,Bob Wilkerson,25,DEN,SF,75,,2381,10.9,.458,21.7,0.2,-3.8,-1.1,
1980,longjo01,John Long,23,DET,SG,69,,2364,16.4,.535,23.7,3.6,-0.4,1.0,
1980,poquebe01,Ben Poquette,24,UTA,C,82,,2349,14.0,.572,13.6,4.9,-0.1,1.1,
1980,wedmasc01,Scott Wedman,27,KCK,SF,68,,2347,16.9,.541,22.2,7.1,1.5,2.1,AS;DEF2
1980,owensto01,Tom Owens,30,POR,C,76,,2337,18.1,.552,22.9,6.9,1.1,1.9,
1980,bantomi01,Mike Bantom,28,IND,SF,77,69,2330,13.7,.533,17.3,3.9,-0.7,0.7,
1980,bryanjo01,Joe Bryant,25,SDC,PF,81,,2328,11.1,.485,16.3,1.8,-2.5,-0.3,
1980,bridgju01,Junior Bridgeman,26,MIL,SF,81,,2316,17.1,.523,26.3,6.1,0.3,1.4,
1980,edwarja01,James Edwards,24,IND,C,82,82,2314,17.6,.545,22.0,6.7,-0.5,0.9,
1980,daviswa03,Walter Davis,25,PHO,SF,75,,2309,21.3,.608,27.0,8.3,3.6,3.3,AS
1980,drewjo01,John Drew,25,ATL,SF,80,,2306,17.8,.532,30.2,6.4,-0.3,1.0,AS
1980,bristal01,Allan Bristow,28,UTA,SF,82,,2304,16.6,.534,20.0,4.4,0.6,1.5,
1980,reidro01,Robert Reid,24,HOU,SF,76,,2304,15.3,.520,19.2,4.9,1.4,2.0,
1980,silasja01,James Silas,30,SAS,PG,77,,2293,16.7,.585,22.4,5.5,-0.5,0.9,
1980,rochejo01,John Roche,30,DEN,PG,82,,2286,13.9,.562,17.0,4.2,-1.0,0.6,
