PLAYER_ID,PLAYER_NAME,START_YEAR,CLUSTER,CAREER_LENGTH,AVG_PER,MAX_PER
754,Jim Jackson,1992,-1,14,12.57,19.17
1125,Larry Stewart,1991,-1,6,12.54,14.85
78250,Brook Steppe,1982,-1,7,12.53,14.05
2036,Chris Mihm,2000,-1,9,12.52,15.68
1751,Jahidi White,1998,-1,7,12.47,15.58
78611,Leon Wood,1984,-1,7,12.44,15.98
179,Bryant Stith,1992,-1,10,12.36,14.89
101198,Will Bynum,2005,-1,10,12.35,16.49
201175,Glen Davis,2007,-1,8,12.35,15.08
278,Stacey Augmon,1991,-1,15,12.31,17.88
281,Scott Williams,1990,-1,15,12.31,15.5
201157,Sean Williams,2007,-1,5,12.29,18.79
246,Greg Anderson,1987,-1,11,12.27,15.57
137,Vernon Maxwell,1988,-1,13,12.26,14.05
386,Elliot Perry,1991,-1,11,12.24,18.02
417,Sam Mitchell,1989,-1,13,12.22,16.45
2748,Dorell Wright,2004,-1,11,12.19,15.9
76993,Gerald Henderson,1979,-1,13,12.19,14.96
3,Grant Long,1988,-1,15,12.13,15.65
76266,Michael Brooks,1980,-1,8,12.09,15.92
2443,Darius Songaila,2003,-1,8,12.07,15.45
2413,Juan Dixon,2002,-1,7,12.06,15.2
176,Antonio Harvey,1993,-1,10,12.02,22.74
85,Brent Price,1992,-1,10,11.94,17.63
1903,Kenny Thomas,1999,-1,11,11.93,15.73
2745,Kirk Snyder,2004,-1,4,11.93,14.1
76247,Randy Breuer,1983,-1,11,11.92,15.19
1899,James Posey,1999,-1,12,11.9,19.26
265,Harvey Grant,1988,-1,11,11.87,16.59
78195,Larry Smith,1980,-1,13,11.86,14.88
201584,Courtney Lee,2008,-1,12,11.84,13.27
1088,Chucky Atkins,1999,-1,11,11.82,17.51
2230,Maurice Evans,2001,-1,11,11.82,13.94
76641,Franklin Edwards,1981,-1,7,11.82,18.17
1800,Damon Jones,1998,-1,11,11.78,15.32
941,Ennis Whatley,1983,-1,14,11.76,14.43
200751,Randy Foye,2006,-1,11,11.75,13.96
200778,James White,2006,-1,7,11.75,14.29
1508,Maurice Taylor,1997,-1,10,11.74,15.84
77034,Craig Hodges,1982,-1,10,11.72,14.15
201589,Darrell Arthur,2008,-1,10,11.72,15.41
976,Jeff McInnis,1996,-1,12,11.71,15.35
76876,Sidney Green,1983,-1,10,11.71,13.74
306,Steve Colter,1984,-1,11,11.68,16.21
1548,Mark Blount,2000,-1,9,11.68,16.42
2254,Loren Woods,2001,-1,7,11.67,13.17
243,Aaron McKie,1994,-1,13,11.62,15.36
101131,Jason Maxiell,2005,-1,10,11.62,16.03
202397,Ish Smith,2010,-1,14,11.61,15.21
77609,Dirk Minniefield,1985,-1,3,11.59,14.01
704,Shawn Respert,1995,-1,4,11.54,12.32
201573,Jerryd Bayless,2008,-1,11,11.53,17.51
2060,Marko Jaric,2002,-1,7,11.49,14.26
77820,John Paxson,1983,-1,11,11.47,13.69
77754,Mike O'Koren,1980,-1,8,11.46,13.99
146,Jud Buechler,1990,-1,12,11.45,15.52
76094,Ken Bannister,1984,-1,7,11.44,18.71
202323,Evan Turner,2010,-1,10,11.44,14.19
236,Kevin Edwards,1988,-1,13,11.42,16.27
2046,Desmond Mason,2000,-1,10,11.38,15.96
927,John Salley,1986,-1,14,11.35,13.97
2776,Pape Sow,2004,-1,3,11.29,16.6
201167,Arron Afflalo,2007,-1,11,11.23,15.84
763,Tony Massenburg,1990,-1,15,11.2,16.63
26,Luc Longley,1991,-1,10,11.19,14.11
101153,Mickael Gelabale,2006,-1,7,11.18,12.02
1918,Obinna Ekezie,1999,-1,6,11.14,12.47
201151,Acie Law,2007,-1,4,11.13,16.39
77373,Ronnie Lester,1980,-1,6,11.12,13.79
1667,Steve Henson,1990,-1,9,11.1,13.29
1628,Alan Ogg,1990,-1,3,11.05,15.86
2402,Dajuan Wagner,2002,-1,5,11.04,18.58
2422,John Salmons,2002,-1,13,10.97,16.23
695,Eldridge Recasner,1994,-1,8,10.9,14.89
2229,Mike James,2001,-1,13,10.86,19.48
78146,Jerry Sichting,1980,-1,10,10.84,14.01
2553,Jarvis Hayes,2003,-1,7,10.82,12.45
983,Moochie Norris,1996,-1,10,10.79,18.57
2073,Brian Cardinal,2000,-1,12,10.78,19.07
82,Bill Wennington,1985,-1,15,10.76,16.11
77332,Jeff Lamp,1981,-1,8,10.71,13.42
76901,Petur Gudmundsson,1981,-1,8,10.68,14.19
101121,Joey Graham,2005,-1,6,10.68,13.0
2581,Steve Blake,2003,-1,13,10.64,13.86
2567,Brian Cook,2003,-1,9,10.61,15.74
1683,Larry Robinson,1990,-1,12,10.59,16.27
200811,Lou Amundson,2006,-1,10,10.48,14.93
2071,Olumide Oyedeji,2000,-1,3,10.42,11.01
77839,Jim Petersen,1984,-1,8,10.42,12.78
201970,Sam Young,2009,-1,4,10.42,12.59
78537,Jeff Wilkins,1980,-1,6,10.37,12.14
1761,Greg Buckner,1999,-1,10,10.33,14.23
753,Randy Brown,1991,-1,12,10.27,13.19
328,Rick Mahorn,1980,-1,19,10.25,13.7
2768,Chris Duhon,2004,-1,9,10.25,13.35
200789,Daniel Gibson,2006,-1,7,10.25,13.43
2410,Fred Jones,2002,-1,7,10.23,12.54
200782,P.J. Tucker,2006,-1,19,10.18,13.22
283,Lindsey Hunter,1993,-1,17,10.16,14.85
280,Felton Spencer,1990,-1,12,10.14,13.35
930,Kenny Gattison,1986,-1,10,10.07,16.26
200822,Pops Mensah-Bonsu,2006,-1,5,10.03,14.64
1915,Evan Eschmeyer,1999,-1,4,10.01,11.66
76355,Butch Carter,1980,-1,6,10.01,14.9
351,Stacey King,1989,-1,8,10.0,13.62
2863,Damien Wilkins,2004,-1,14,9.97,13.22
78348,Ray Tolbert,1981,-1,8,9.96,10.78
76928,Roylee Hamilton,1979,-1,2,9.91,10.54
202341,James Anderson,2010,-1,6,9.77,14.53
200769,Shannon Brown,2006,-1,9,9.75,13.88
402,Jon Koncak,1985,-1,11,9.66,12.68
201590,Donte Greene,2008,-1,4,9.64,11.93
724,Cory Alexander,1995,-1,10,9.61,14.96
77864,Charlie Pittman,1982,-1,4,9.6,11.34
78414,Peter Verhoeven,1981,-1,6,9.52,11.88
285,Greg Grant,1989,-1,7,9.41,12.51
2756,Sasha Vujacic,2004,-1,13,9.4,15.74
2452,J.R. Bremer,2002,-1,2,9.36,12.55
78347,Tom Tolbert,1988,-1,7,9.36,14.73
2063,Jake Voskuhl,2000,-1,9,9.33,14.01
77435,Rudy Macklin,1981,-1,3,9.3,10.4
917,Jack Haley,1988,-1,10,9.28,19.66
1972,John Morton,1989,-1,3,9.23,12.2
76556,Kenny Dennard,1981,-1,3,9.11,11.15
2407,Jared Jeffries,2002,-1,11,9.1,11.61
101179,Ronnie Price,2005,-1,12,9.05,12.74
201,Chris Dudley,1987,-1,16,8.99,13.33
78007,Johnny Rogers,1986,-1,2,8.99,10.6
77022,Johnny High,1979,-1,5,8.96,11.25
