rep,k,shape_r2,cramersV_pos_mode,p_pos_mode,ami_pos_mode,cramersV_draft_cat,p_draft_cat,ami_draft_cat,cramersV_all_star_ever,p_all_star_ever,ami_all_star_ever,cramersV_all_nba_ever,p_all_nba_ever,ami_all_nba_ever,eps2_sum_ws,p_sum_ws,eps2_mean_bpm,p_mean_bpm,eps2_career_games,p_career_games,eps2_mean_per,p_mean_per,eps2_n_valid,p_n_valid,pac,silhouette_consensus,median_stability,frac_stable
ae128_latent,3,0.38900890327421433,0.08528751369013853,0.0019767001740320193,0.003776184802469494,0.2659315061525976,2.391886625725074e-48,0.05682263596239377,0.46817920499290483,1.6889480267756593e-80,0.16203347244810787,0.34493119373540443,5.005690086620547e-44,0.09951521886828858,0.5747214362931607,5.979805662475385e-210,0.4163187100463432,2.1008314214015176e-152,0.49647906698927974,1.5890912236685838e-181,0.5862706140395734,3.810808062793153e-214,0.510772641908716,1.019703950186308e-186,0.3912577921846614,0.6973500532638617,0.8180125362379644,0.9194510739856802
ae16_latent,4,0.37578305504796283,0.06432618834626182,0.053307531352051435,0.0016564083454640157,0.219183007679772,6.050464822247121e-47,0.05076559143180611,0.5002405914945223,1.3867948688021342e-90,0.1373719795823661,0.39568836800395857,1.3534501197024e-56,0.09672966327958074,0.5141820441403319,1.0833356498425194e-186,0.3921772484169593,1.873440126647927e-142,0.4007502926161528,1.461112477725683e-145,0.50206908561726,2.6759051373201372e-182,0.39230124348984546,1.689230948123646e-142,0.4081209703273608,0.5653953642734132,0.7197016843385924,0.863961813842482
ae32_latent,3,0.386913439624783,0.04862545637016026,0.4407727134337096,-1.2252672951390016e-05,0.25208719594971557,3.2117856458238787e-43,0.05082630954153217,0.43742592272306396,2.309039355039891e-70,0.14580327130795792,0.3273403018697735,1.0077463101560491e-39,0.09414168217734104,0.5274514419809049,8.897690341107333e-193,0.41585124638583815,3.106095693031685e-152,0.4325884797230871,2.581011573127703e-158,0.6064742536067166,1.7429732331772823e-221,0.44418686541138386,1.5784954529745703e-162,0.45618138424821,0.6151120265892194,0.8015260686400765,0.9081145584725536
ae64_latent,3,0.3718920614237181,0.07648284180563607,0.01192559711880278,0.0027174619302050814,0.25506255563917724,2.6829225979866467e-44,0.05430357047975485,0.43176497413394893,1.4261725004101637e-68,0.14716926120245113,0.3257283655035089,2.4348456449023106e-39,0.09759699884805023,0.5359967622610263,6.996336084215611e-196,0.38797877373905165,4.1488822990496745e-142,0.4612120374440315,1.0308939114680839e-168,0.5713315918861568,1.019000994290532e-208,0.4783927154541742,5.91141245263539e-175,0.5685391657464468,0.4846952014589638,0.653357827426754,0.7971360381861575
ae64_latent_consecutive,3,0.40233620931810465,0.06708697933131767,0.05749045743538509,0.0016380989858077494,0.27393379104168464,1.928756925971438e-51,0.061055068367683346,0.45148444976149793,6.536902014137384e-75,0.15751335874316683,0.3348495885849702,1.5618481744959384e-41,0.09954517351923538,0.5570413389526421,1.5835890853221787e-203,0.4316341251845643,5.734490901355616e-158,0.4772879340739565,1.489513159683642e-174,0.6414088006871977,3.5482338965471115e-234,0.49726410706545876,8.2405028262277e-182,0.1702055355679834,0.880820789560221,0.9475099725754176,0.9731503579952268
ae64_latent_nostd,3,0.4645734600205256,0.06957960784533515,0.03922911280829244,0.001912944310361412,0.24274720134975217,6.395409557548076e-40,0.04788121687600345,0.44579544986516667,4.7113247587014744e-73,0.1573277077158759,0.3326268376172573,5.414903352715033e-41,0.09947206712139492,0.5692042890109669,6.039441767569737e-208,0.5148214794870292,3.4481225412675405e-188,0.4126952655354023,4.35253929923353e-151,0.7530205967775079,1.0066080131950822e-274,0.39922436805692696,3.4083888359390386e-146,0.5027471235706907,0.5629990678467901,0.734246715461513,0.9433174224343676
ae64_latent_primary_bpm,3,0.2865957004917259,0.17793890880197882,2.370424647124995e-19,0.0212020424485197,0.21588449988382508,3.732294911688535e-31,0.037362748607801574,0.42204599346992727,1.4934776271969831e-65,0.14463786298984585,0.3154214524852948,6.186985471350511e-37,0.09609819112568925,0.5680067541276311,1.6445461047909653e-207,0.6659598393673218,4.2749481206230246e-243,0.4630186219667972,2.2745982440086878e-169,0.4169092778469673,1.2818741876277314e-152,0.4506344088437532,7.176826876843808e-165,0.1137691019841128,0.9191696194494404,0.967492816091954,0.9892601431980907
ae64_latent_seed0only,3,0.4110677313165878,0.0655143733578047,0.07221420820606522,0.001468250324750532,0.26345402158507414,2.0761703500785363e-47,0.054868752897537613,0.4555519985779677,2.9692774824726993e-76,0.14984605162477224,0.34579732823314985,3.0320234959960073e-44,0.0992536788961219,0.5058152048606898,6.448343898594973e-185,0.4534790991194056,6.644962332682212e-166,0.38273648757852335,3.3295633182464457e-140,0.6321054503428603,8.507492704218797e-231,0.37929612948606406,5.9186927844748646e-139,0.1726042816941545,0.9048555211479904,0.9597954553162886,0.9964200477326968
ae64_umap5,3,0.23873824339969318,0.050115515377226603,0.3936683416782828,8.837273445382347e-05,0.2675975097214719,5.527345211900404e-49,0.060196691168464524,0.3984911697454622,1.6153431836158827e-58,0.12301605747865858,0.30264423048531713,4.629805301063749e-34,0.08022344961439817,0.6932326482758092,5.2852411360405867e-253,0.33287308357587386,4.3364105081946e-122,0.7155395467296859,4.161511843061551e-261,0.3258042289282544,1.6038204556626282e-119,0.735536471982994,2.2626713049703566e-268,0.3762526270794001,0.7103971356727462,0.8616536321558416,0.9504773269689738
ae64_umap5_hdbscan,5,0.18061272217855506,0.06700545785121642,0.017494782876330644,0.0030675871309667493,0.17682222777590456,1.946834598791991e-27,0.038823961127122844,0.28277582951983904,5.38552110350743e-28,0.07307833385358337,0.21180998960684275,1.8154350124104287e-15,0.047308605644632885,0.5332606147920432,1.9407808140534487e-192,0.23794123199307807,1.2549681369002731e-85,0.5730669083119025,7.502498158204227e-207,0.23129352272160794,3.1524884497861815e-83,0.6002456556536548,1.0797321756234992e-216,0.758011612581484,0.4297846553176312,0.5388316107934922,0.6587112171837709
ae8_latent,3,0.4042036387335468,0.06337869648621594,0.09683534789875829,0.0012311341386378367,0.23980182011917833,6.5978791432295e-39,0.04707688823292189,0.47727385029386277,1.2539113029614946e-83,0.1598396073590024,0.3681511516840484,4.714759852800118e-50,0.10537642910358587,0.5545711698780048,1.2503270809502993e-202,0.43947688616805863,8.115572058634172e-161,0.4384263369850714,1.954206035569741e-160,0.5979528382972136,2.1727660583057522e-218,0.43175782534480583,5.1707812646819715e-158,0.5515028675239554,0.497460734557264,0.6732773707817004,0.9045346062052506
dtw_latent,3,0.5341186798415127,0.05896519767137949,0.16729521441541678,0.0008345032665025979,0.23377027471038705,7.156675362354383e-37,0.044755133198219416,0.601492570011103,2.134936715478696e-132,0.2137135359673559,0.5362952131885009,2.1214781728827156e-105,0.17053864965040016,0.4288107077110567,6.084244736068423e-157,0.500771108135077,4.384344215700402e-183,0.25106168193304873,2.281268432821502e-92,0.747350426873605,1.1554769640402403e-272,0.22719356633487953,1.0694499804822664e-83,0.3385366722473551,0.7610004397420319,0.880939524838013,0.9689737470167064
pca_latent,3,0.14103199999947058,0.04993460053692681,0.3992948733057278,7.570089937964618e-05,0.22647966551151263,1.7485826503898646e-34,0.04305042151946729,0.3093439737729992,1.4905759529741975e-35,0.08048155350784737,0.22922425625978668,7.538560635141912e-20,0.046828483145168756,0.5464356540749,1.128634925753934e-199,0.19662397919893668,1.3636543192412657e-72,0.6351146691318347,6.864209242984809e-232,0.1677480531569496,4.216600774752827e-62,0.67175134070229,3.364741991715777e-245,0.3097681045844762,0.7363783081210548,0.8296139359698682,0.944510739856802
raw_copula0_latent,3,0.0006881599961452434,0.052949976860661586,0.3098407837766255,0.0003086229299112843,0.0424584710973252,0.41842125002449837,-1.7276184067290974e-06,0.028693154270158856,0.5016147062305248,-0.00026255272141507204,0.06632805307310832,0.025054392856190138,0.002441495961489014,-0.000867149768657736,0.7598538107216793,-0.00025802886785211346,0.4565035273459458,-0.0010122101107207632,0.8578841238676347,-0.000744458637254874,0.6857375189342707,-0.0008457960933336983,0.7464015387220859,0.0319153635165461,0.9814098189299544,0.9928571428571428,0.997016706443914
raw_copula1_latent,3,0.0008333503259081443,0.03504655997714007,0.8464036991561704,-0.0008657527829590087,0.042796698427195724,0.4077592470132085,1.5417374767367396e-05,0.04263269351413968,0.21803405470398995,0.0003941943905621996,0.050576468016613675,0.1172336297106558,0.001016910175206997,0.0027148566671545797,0.0379692900687746,-0.0003088473147600371,0.4763276976370088,0.0036328298003189775,0.01761750748384991,-0.0004404386264520195,0.5317546453504858,0.0033102240528169705,0.023075071034462206,0.0801916432159014,0.9476804946186872,0.9779225116900468,0.9958233890214796
raw_copula2_latent,3,0.003279696758505035,0.051476687968708607,0.3523225760116827,0.00024339187520523812,0.04213746032145169,0.42862288720050046,-1.9638812820143804e-05,0.038024211646717695,0.29771623353697957,0.00014656219433462308,0.03510461309347399,0.35604584616803886,1.5171035033370467e-05,0.0011556328188187554,0.13991966353896437,0.0002689290040249536,0.29376971177305167,-0.00017668371864907378,0.4264739172092854,0.003581199872706955,0.018395049609653345,-0.0002887552065775508,0.46838893538011694,0.0732910625868272,0.964692372326698,0.9848354299500258,0.9982100238663484
raw_latent,3,0.5731359070562146,0.059328641921682454,0.16041560696155693,0.0008752189776116507,0.24184741783475855,1.3087582612585617e-39,0.0473884288402987,0.5961029899027452,4.7691543245627244e-130,0.2140473056637063,0.5222692141725748,5.372689508428309e-100,0.15905229405422036,0.4996163125389502,1.1519330981727552e-182,0.5467125476411986,8.95285518903254e-200,0.32072675274808937,1.1213431485011245e-117,0.8153692603028644,2.2510265933830025e-297,0.28842293578573436,6.09966634780427e-106,0.1010059487764043,0.9339986215769972,0.9655098435133772,0.9916467780429594
raw_null0_latent,3,0.001760364857668395,0.04725820384466646,0.48519992568415315,-0.0001658222810790437,0.020749111768631392,0.9631828499986478,-0.001127156027657818,0.021654672921564307,0.6750564026447098,-0.000495204874501732,0.03103656343705081,0.446097023007503,-0.0001450032961870475,-0.0006795449164444978,0.6494946516995301,-0.00017598313829314785,0.426224061587017,-0.0009584353267077073,0.8201493269971927,0.0009845554986657491,0.16144662688362846,-0.0008118751277308571,0.7255201336333139,0.0439041071492181,0.9773051569922708,0.9916296953564036,0.9976133651551312
raw_null1_latent,3,0.0021956539407684827,0.03382032131847442,0.8717756780511354,-0.000940031640106698,0.028200301557663673,0.8494816170123916,-0.0008195234415403963,0.06049397161827383,0.04657561003825321,0.0016911372968081509,0.042697986798665245,0.2170184408362273,0.00041326552755793983,0.0042373081376924394,0.010625396394183351,0.0035361326036505037,0.019101757681510356,0.0027760751610969997,0.03607385651510225,0.001142751656763925,0.14143546256581396,0.0023932867903132047,0.04968836886660414,0.1181277383963238,0.9473907127104032,0.9746993127147766,0.9982100238663484
raw_null2_latent,6,0.0019150697861861632,0.06985248226330898,0.03628428264079503,0.0021877850804548427,0.0471013148677756,0.7415464788108503,-0.0007333431269172332,0.055625667230651314,0.3936162535578292,8.50781813696371e-05,0.06582219078311875,0.2019161150986242,0.0005667091776557869,0.0007411856581196485,0.28376466844886494,-0.0005291171055018028,0.5327855705014941,-0.0007849766486759839,0.5949885170403215,8.679562205233206e-05,0.39844796367364255,-0.0013632271473728059,0.7425356177371779,0.021072917037723,0.9774618052592118,0.9910695742471444,0.997016706443914
shape_latent,3,0.17632741299356325,0.09699490039478981,0.00011276930160039848,0.005353456072160811,0.1791692521684541,6.466409149334804e-21,0.026566400993776235,0.29801050479896823,4.7698238499868806e-33,0.06537529521437813,0.26765199006974144,8.47820662256273e-27,0.05608561343750872,0.21513328128894285,2.573411751612735e-79,0.10730967867894084,3.814682758139761e-40,0.19472049708190628,6.702166863390249e-72,0.09275640742004546,7.387160664394863e-35,0.20358764737064589,4.0261675728160964e-75,0.0566316389413315,0.9745140670651188,0.9887588116817724,1.0
shape_latent_x,3,0.17632741299356325,0.09699490039478981,0.00011276930160039848,0.005353456072160811,0.1791692521684541,6.466409149334804e-21,0.026566400993776235,0.29801050479896823,4.7698238499868806e-33,0.06537529521437813,0.26765199006974144,8.47820662256273e-27,0.05608561343750872,0.21513328128894285,2.573411751612735e-79,0.10730967867894084,3.814682758139761e-40,0.19472049708190628,6.702166863390249e-72,0.09275640742004546,7.387160664394863e-35,0.20358764737064589,4.0261675728160964e-75,0.0566316389413315,0.9745140670651188,0.9887588116817724,1.0
summary_copula0_latent,3,0.0004742527047587597,0.05883739598727152,0.16976190307714384,0.0007869813649485945,0.039349731551381904,0.5196551863998355,-0.00018747163218587676,0.025212115669627447,0.5870323495307465,-0.00037698034955551253,0.04047099450808446,0.2534569303856937,0.0003617281297860641,-0.0008788907745347735,0.7673533696402769,-0.0007731283328573529,0.7023817990123367,-0.0009730944412892761,0.8302681983360799,-0.0008544294875419071,0.7518114381081846,-0.0008213362923193071,0.7312848733843875,0.0794036975029387,0.9460417006070972,0.9795238095238096,0.9940334128878282
summary_copula1_latent,3,0.0003022591136975228,0.030657322851200482,0.9245641120594117,-0.0010886046916165335,0.025388856801850764,0.9043435302641145,-0.0009352380388841036,0.020676249167364987,0.6988975595630914,-0.0005177952256357601,0.031163501905154527,0.4431551665679364,-0.00019344371752286367,-0.0011149222113868258,0.9348515146413955,0.0007589784771756424,0.1949746953728871,-0.0010158837997402798,0.8605244917388715,-0.0011851615717828735,0.9914246348036497,-0.0009092914708210014,0.7871175440055562,0.059913083745948,0.966472227741561,0.9847835153169546,0.9952267303102624
summary_copula2_latent,4,0.0010034243329911652,0.04405610278783211,0.6370899757759649,-0.0004729917450473767,0.03464723379857683,0.7363333939611487,-0.0006469495527780657,0.06280561423030845,0.08538406685873219,0.0011785359360979423,0.04956534084750888,0.24905592132701657,0.000311085384811979,-0.0011007852773245231,0.7627364785263735,-2.9988733754307376e-05,0.3994207400197347,-0.0003491084630254804,0.49060932789425793,-0.0011721495485471065,0.7915342525733537,-0.0005613938862365046,0.5597715242946371,0.0811042638834467,0.933289261012742,0.9736324786324788,0.989856801909308
summary_latent,4,0.4742840637244684,0.05516060770876525,0.22550859812667243,0.0006088928608589292,0.23252558682594715,2.3970985826874796e-53,0.05692835095084826,0.5705467252618625,6.3170472720071475e-118,0.16683875795003802,0.4792758811883179,3.954531986685549e-83,0.11831143937700206,0.6563203195636902,3.0291466828521232e-238,0.44485172043672044,1.4972051199189093e-161,0.6053856036169035,9.051865249913052e-220,0.585345007778147,1.681153610335703e-212,0.623447977296835,2.5420368658274464e-226,0.0780230114344744,0.9320079472738786,0.975785842064912,0.9916467780429594
summary_latent_consecutive,4,0.47491727452374954,0.05272040682744438,0.3023056082902505,0.00035074177469702675,0.2318268373020698,5.307160102035623e-53,0.05629487383578708,0.5750034792641291,8.827042670796e-120,0.17013578416327776,0.48171467290318065,5.576232380972836e-84,0.11973760406536942,0.6659885310621237,9.42414816134811e-242,0.45000740757046104,2.022509649781237e-163,0.6172265949556567,4.590002723296482e-224,0.5876466506803176,2.459219710046495e-213,0.62901401214087,2.4335563903140887e-228,0.056836818295159,0.9544349551720804,0.984048156508653,0.9928400954653938
summary_latent_primary_bpm,3,0.2659207354925536,0.09032817194817647,0.0006151205047683564,0.00438040036186637,0.23131310569275434,4.659804562773149e-36,0.04205858299307711,0.4420455671359748,7.670157776637791e-72,0.14337825621625447,0.3386645755897865,1.8134982184608185e-42,0.0953115525840096,0.6617392895704557,1.4594967519838578e-241,0.5114196152131318,5.935221000012707e-187,0.6107932875204847,4.701542878118691e-223,0.3426661193291383,1.2007277189320615e-125,0.6060898903883546,2.403947653836676e-221,0.0883653332383428,0.9588544045791448,0.9874617183137911,0.9946300715990454
summary_latent_ward,3,0.416062630499493,0.05934328033854289,0.1601426995535299,0.0007754590739998145,0.2341972206240629,5.157259274475527e-37,0.04536988713705184,0.4817091698075781,3.5505125047912403e-85,0.18417776135184544,0.3611159323091373,3.4726985788712284e-48,0.11963122162734773,0.44010888695132544,4.783229936578631e-161,0.4339836596762012,8.034127990463471e-159,0.30108354562578216,1.5341466734161722e-110,0.6259386857683195,1.4794798265411733e-228,0.2909058486734958,7.643552904857315e-107,0.6193281801018773,0.492788763441491,0.7003654485049833,0.9570405727923628
summary_null0_latent,4,0.004496479041907087,0.0512821802546504,0.3530464814906375,0.0002477728161682982,0.027059998313844074,0.9310856099015926,-0.0011513458937566531,0.09743636358875579,0.0011822537339006441,0.003994020516865571,0.11905169610287267,2.8108911533260845e-05,0.007007403275437945,0.0021830200552494655,0.08393056854044205,0.004347329390063442,0.016414635706008908,0.0012049127791209416,0.170730145672257,0.003539098427822606,0.030409876171310916,0.0003457840960171599,0.3107667503522781,0.0833056673672211,0.9204167801055744,0.9657058388765704,0.9880668257756564
summary_null1_latent,4,0.0007914112472644508,0.05019459420314968,0.3936239736148102,0.00012291896409133003,0.02732938414404328,0.9267621154028465,-0.001137712551756192,0.04352975870880827,0.36531339473048513,8.767028991434719e-05,0.04389912353191625,0.3575225964424936,0.00011475360178168749,-0.0006695459847303847,0.5975717226675068,-0.0012827709190773914,0.8362216642372683,-0.0007867233123883306,0.6403632857046342,-0.000934174854507822,0.6966380876234985,-0.0010360517624237915,0.7368118291844683,0.0758130588109571,0.9344424865589368,0.9737607115739236,0.9886634844868736
summary_null2_latent,4,0.001845993743223806,0.05796433871024932,0.15365147712273292,0.0010668668042061447,0.04107476295666044,0.48630446054204834,-0.00010268164918922331,0.02649929938963975,0.7585477025261674,-0.0006134062763024769,0.045277912901979744,0.32916471638735356,0.00018771811580571617,-0.0016535118284783238,0.9716941527444191,-0.0013930812800507654,0.8800570828414714,-0.0014411943717118176,0.8986440817945863,-0.0001390564693524641,0.42887837900406023,-0.001589757116987611,0.9519597179280654,0.071577672496705,0.9418561467246318,0.9723697831370124,0.997016706443914
