rep,k,logW,gap_uniform,sd_uniform,gap_normal,sd_normal
summary,1,9.726750374036074,1.4260001917087113,0.009551888832597959,0.0034555544290633122,0.01684494823139373
summary,2,9.351728554950682,1.4676768493972485,0.008155947250960138,0.010379604307340529,0.019039917565981602
summary,3,9.187475008982366,1.4884930337874334,0.008733349827541153,0.04579262553164476,0.01648806458282104
summary,4,9.062598901017887,1.4890727766279763,0.008393415446821215,0.05521621928462217,0.018859582077084124
summary,5,8.969331001768598,1.49940387393546,0.008842831239378905,0.07217831700044997,0.014561330386703677
summary,6,8.88869076697863,1.5043359425401217,0.00769914826029144,0.08123925984812708,0.013747225131504502
summary,7,8.814048768747318,1.5215201035381103,0.0077901104226481685,0.10661344732260325,0.01224792286537053
summary,8,8.748769045369981,1.5257443801985477,0.00699490911912791,0.1274833942467346,0.016239601752851596
summary,9,8.703942076978418,1.5306179464566299,0.01081663148549165,0.1271330241288311,0.01463631862155327
summary,10,8.651490974451603,1.548085784837065,0.009361698832871378,0.14452565648371518,0.015449241396264341
summary,11,8.60707159898005,1.5635583578466488,0.010498699849403338,0.15943367206484282,0.017438268080575227
summary,12,8.584064041387158,1.5553976350481804,0.007180023187917673,0.15171926656331536,0.01636715046711536
raw,1,9.8220605538404,1.5803085017108724,0.016653215864548945,-0.008331243488266082,0.021886283895893352
raw,2,9.29230218265416,1.4466498318173002,0.00847426345649314,-0.05821965693275999,0.01906632572220402
raw,3,9.042398410713107,1.5076454295488393,0.008141123813456367,-0.032521492517338046,0.017501694714174457
raw,4,8.915545418588508,1.5492938267778236,0.008667583313093741,-0.027303855758406215,0.015355925214774442
raw,5,8.813088446646555,1.5802885334112222,0.007573432442733909,-0.01546836355332637,0.013135667423807031
raw,6,8.74101043935477,1.5806166830438926,0.006325636368322064,-0.016215131336306143,0.014553345933079364
raw,7,8.680832332607148,1.5872309493390802,0.007044027853119654,-0.009263591695631845,0.015491751929706692
raw,8,8.627786805294347,1.6036943833737176,0.00660409548508693,-0.0019048477148935206,0.018252064958733785
raw,9,8.583398426061278,1.620029737779845,0.008926463101161762,0.0007029768099915401,0.01828308791236247
raw,10,8.54468382247323,1.6328516748861581,0.0063991448010804145,0.005713403767758862,0.017221588083049806
raw,11,8.515560972142811,1.6377356852207985,0.008744807448171917,-0.001938854894206088,0.014175024050919223
raw,12,8.482007578039237,1.6512009565609738,0.005883983218346765,0.004624868302128604,0.015679007434054565
ae64_s0,1,11.58304851007032,1.3485941967435018,0.005856603730569547,-0.0030172544251936273,0.01405574211125
ae64_s0,2,11.437479506766095,1.3951469328842503,0.005065549898777953,0.0037847420754815175,0.012183957185149197
ae64_s0,3,11.355710825174622,1.4212942833361915,0.005509603373042185,0.01917206312279518,0.010228833776055902
ae64_s0,4,11.297694665723043,1.439460315717712,0.004887439599012292,0.024109355035907498,0.008905700562678854
ae64_s0,5,11.249774305044198,1.4563187359942003,0.005902360757049212,0.03460186950149691,0.009581273384195609
ae64_s0,6,11.202335285708433,1.4782049405282045,0.006861107590365612,0.04750594990183998,0.008989024400102314
ae64_s0,7,11.1590492794223,1.502319716255041,0.0047551456725659635,0.06492074336978426,0.007040709920764752
ae64_s0,8,11.120186881572431,1.5196233246542352,0.00635430953929885,0.07884249624620487,0.01088683913658572
ae64_s0,9,11.090145893236457,1.5311178610136675,0.004912147536731519,0.08978195405565792,0.008001819099978475
ae64_s0,10,11.064629387695115,1.5375388914492394,0.006022707167302428,0.09898694613990244,0.009674362366226187
ae64_s0,11,11.040199508552146,1.5482770785872386,0.004971939693569363,0.10428950019755412,0.009416829767285412
ae64_s0,12,11.01898057985745,1.5569397932553137,0.005747193997050738,0.1079609788038649,0.011140283445657921
