n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin,dbcv,n_components,n_neighbors,min_dist,min_cluster_size,min_samples,composite_2025,dbcv_hdbscan
5,0.058165548098434,0.15015041828155518,149.55535664226161,0.8068969743597847,-0.16415784804306477,2,15,0.0,20,15,0.6100284339769292,0.10489782150574864
20,0.12229679343773303,0.3832118511199951,1786.721991155174,0.8007334539439155,0.12021517094615439,2,15,0.0,25,5,0.8494649387521966,0.17394590361516954
10,0.09395973154362416,0.4127160608768463,500.2853742059276,0.5531580885664081,0.03684787613574303,2,15,0.0,25,10,0.7337480270890324,0.11287960602334009
5,0.058165548098434,0.15015041828155518,149.55535664226161,0.8068969743597847,-0.16415784804306477,2,15,0.0,25,15,0.6100284339769292,0.10489782150574864
17,0.13571961222967935,0.41068893671035767,1910.5554072213213,0.8380820207550443,0.12476908040362818,2,15,0.0,30,5,0.8619429975597821,0.23526889932226525
7,0.1081282624906786,0.4228580892086029,699.1981291287628,0.5775471235462948,0.02431114448036245,2,15,0.0,30,10,0.6909100475469632,0.13255430563567228
5,0.058165548098434,0.15015041828155518,149.55535664226161,0.8068969743597847,-0.16415784804306477,2,15,0.0,30,15,0.6100284339769292,0.10489782150574864
14,0.1319910514541387,0.4347110688686371,1941.1532125225783,0.7889634663353142,0.16610404442406257,2,15,0.0,40,5,0.8697246661463118,0.24329239641170008
7,0.1081282624906786,0.4228580892086029,699.1981291287628,0.5775471235462948,0.02431114448036245,2,15,0.0,40,10,0.6909100475469632,0.13255430563567228
4,0.05070842654735272,0.1880616694688797,199.80710831741445,0.8709049767209733,-0.17398307314420403,2,15,0.0,40,15,0.5429774332878676,0.049677104253945524
2,0.0,0.266267329454422,296.3592955549959,0.7222497112424122,-0.4913760015601912,2,15,0.0,50,5,0.5795760289736629,0.06438766180272253
6,0.10514541387024609,0.45013487339019775,824.3095533725789,0.6281323568752036,0.010977633182676041,2,15,0.0,50,10,0.7084075621847137,0.17773261602764645
4,0.05070842654735272,0.1880616694688797,199.80710831741445,0.8709049767209733,-0.17398307314420403,2,15,0.0,50,15,0.5429774332878676,0.049677104253945524
27,0.31021625652498136,0.5079966187477112,2396.088188465848,0.6266861651406641,0.22134189502693846,2,15,0.1,15,5,0.7531346158546622,0.17508255121090974
