rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae8_latent,2,24,0.4312442560467353,0.7662247881150627,0.8389462077679981,726,950,0.8907092224289609,0.9725536992840096,False
ae8_latent,3,24,0.5515028675239554,0.497460734557264,0.6522848139833528,464,642,0.6732773707817004,0.9045346062052506,True
ae8_latent,4,24,0.5233918711929612,0.42751605039322327,0.5987066505979787,323,473,0.6149209317277027,0.801909307875895,False
ae8_latent,5,24,0.4718562319666584,0.42834548279207624,0.5657951581951727,155,470,0.5779192316274913,0.7625298329355609,False
ae8_latent,6,24,0.4256203469525879,0.34724789597812533,0.546786928744256,166,339,0.5498750363274254,0.6420047732696897,False
ae8_latent,7,24,0.38761799593915863,0.36115321436298514,0.5851815285319212,117,574,0.5080740922806676,0.5256563245823389,False
ae8_latent,8,24,0.34904783956114416,0.3431419104585713,0.5421973942592897,65,553,0.4853045058986046,0.46420047732696895,False
ae8_latent,9,24,0.3179311081822392,0.3221224580597877,0.5402074330327724,41,532,0.449639699050458,0.4033412887828162,False
ae8_latent,10,24,0.290922238449756,0.2941060408756281,0.5221674789779679,28,502,0.4194736630077307,0.3556085918854415,False
ae8_latent,11,24,0.2738168346810102,0.3095208809569307,0.5087515179873224,44,402,0.4369936627695915,0.37708830548926014,False
ae8_latent,12,24,0.2500758736152175,0.32581131669648783,0.5262614745699804,80,355,0.43453577567666224,0.4045346062052506,False
