rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae16_latent,2,24,0.4261539557582018,0.7973486654890806,0.8530800983932714,818,858,0.9113913311759914,0.9934367541766109,False
ae16_latent,3,24,0.5364307341573754,0.4229692985365729,0.6711812444613373,196,850,0.5917419777556474,0.7434367541766109,False
ae16_latent,4,24,0.40812097032736083,0.5653953642734132,0.6800711003482726,348,536,0.7197016843385924,0.863961813842482,True
ae16_latent,5,24,0.42171125280518645,0.41378832800260706,0.5916892545078112,203,466,0.6005901745650217,0.7267303102625299,False
ae16_latent,6,24,0.39862145121647136,0.36598590172616186,0.5545676834589136,218,384,0.554071793880223,0.6467780429594272,False
ae16_latent,7,24,0.34974459445018347,0.3583357806620357,0.5493527161603226,49,608,0.4529650050360957,0.44749403341288785,False
ae16_latent,8,24,0.3203904107149218,0.3473970550227012,0.542235808144605,91,410,0.5097175166149639,0.5280429594272077,False
ae16_latent,9,24,0.28673885940227267,0.3645162523554444,0.5546838355790695,114,282,0.5143089471784581,0.5346062052505967,False
ae16_latent,10,24,0.25561500374024865,0.4021079136040472,0.5487518066576411,117,244,0.5278984997485623,0.5471360381861575,False
ae16_latent,11,24,0.24350158515299397,0.37840344354674776,0.5548683760115769,84,276,0.5218354857345471,0.5501193317422435,False
ae16_latent,12,24,0.22688134506465288,0.35527830333994975,0.5215402743165705,46,270,0.4916196766095629,0.48031026252983294,False
