label,n,k,ari_sel,ari_k8,tag
2025 restrictions,1676,3,0.31324287729095185,0.5081558805045511,summary_latent_original2025
250-minute threshold,1544,3,0.48396544101011785,0.5877707706514915,summary_latent_mp250
$\ge$3 seasons,1444,3,0.4408434358106185,0.7393464918277866,summary_latent_min3seasons
No games rule,1676,4,0.9178230079377918,0.923231319580197,summary_latent_nogames
Debut $\le$2005--06,1437,3,0.4117907275803948,0.8238984221448471,summary_latent_debut1980_2005
Gaps deleted,1676,4,0.9200849672571213,0.883162857567141,summary_latent_consecutive
BPM instead of PER,1676,3,0.2926710263086804,0.27372009935692565,summary_latent_primary_bpm
Ward instead of $k$-means,1676,3,0.32810247009689164,0.5281060060678407,summary_latent_ward
