player_id,draft_year,pick,round,n_match
bratzmi01,1977.0,66.0,3.0,15
breauti01,,,,0
bremejr01,,,,0
breuera01,1983.0,18.0,1.0,15
breweco01,2007.0,7.0,1.0,15
breweja01,2001.0,40.0,2.0,15
breweji01,,,,0
brewero01,1978.0,7.0,1.0,15
brewero02,2006.0,14.0,1.0,15
brezepr01,2000.0,27.0,1.0,15
brickfr01,1981.0,57.0,3.0,15
bridgju01,,,,0
bristal01,,,,0
brockjo01,2009.0,38.0,2.0,15
brogaji01,,,,0
brookaa01,2007.0,26.0,1.0,15
brookke01,1991.0,18.0,1.0,15
brookmi01,1980.0,9.0,1.0,15
brooksc01,,,,0
brownan01,,,,0
brownbo02,,,,0
brownch01,1989.0,43.0,2.0,15
brownde01,1990.0,19.0,1.0,15
brownde02,,,,0
brownde03,2006.0,46.0,2.0,15
brownde04,2009.0,40.0,2.0,15
brownfr01,,,,0
brownke01,2001.0,11.0,1.0,15
brownkw01,2001.0,1.0,1.0,15
brownmi01,1985.0,69.0,3.0,15
brownpj01,1992.0,29.0,2.0,15
brownra02,1991.0,31.0,2.0,15
brownri01,1980.0,13.0,1.0,15
brownsh01,2006.0,25.0,1.0,15
brownti01,,,,0
brownto01,1983.0,141.0,7.0,15
brunsri01,,,,0
bryanjo01,,,,0
bryanko01,1996.0,13.0,1.0,15
bryanma01,1988.0,21.0,1.0,15
bryanwa01,1982.0,30.0,2.0,15
buckngr01,1998.0,53.0,2.0,15
bucknqu01,1976.0,7.0,1.0,15
budinch01,2009.0,44.0,2.0,15
buechju01,1990.0,38.0,2.0,15
buforro01,1999.0,53.0,2.0,15
bullama01,,,,0
burkepa01,,,,0
burksan01,2004.0,36.0,2.0,15
burleto01,,,,0
burresc01,1993.0,20.0,1.0,15
burtowi01,1990.0,9.0,1.0,15
burttst01,1984.0,30.0,2.0,15
busedo01,,,,0
butleca01,2002.0,10.0,1.0,15
butleja01,,,,0
butlemi02,,,,0
butlera01,2002.0,52.0,2.0,15
bynuman01,2005.0,10.0,1.0,15
bynumwi01,,,,0
byrnema01,1978.0,19.0,1.0,15
cabarza01,2003.0,17.0,1.0,15
caffeja01,1995.0,20.0,1.0,15
cagemi01,1984.0,14.0,1.0,15
caldejo01,,,,0
caldwad01,,,,0
calvima01,,,,0
cambyma01,1996.0,2.0,1.0,15
campbel01,1990.0,27.0,1.0,15
campbto01,1984.0,20.0,1.0,15
cardibr01,2000.0,44.0,2.0,15
carliri01,1984.0,70.0,3.0,15
carnero01,2006.0,16.0,1.0,15
carran01,1983.0,8.0,1.0,15
carrau01,,,,0
carrch01,1995.0,56.0,2.0,15
carrke01,1977.0,6.0,1.0,15
carrml01,,,,0
carrode01,2009.0,27.0,1.0,15
carrojo01,1980.0,1.0,1.0,15
carroma01,,,,0
cartean01,,,,0
cartebu01,1980.0,37.0,2.0,15
cartere01,1979.0,27.0,2.0,15
cartevi01,1998.0,5.0,1.0,15
cartwbi01,1979.0,3.0,1.0,15
cassesa01,1993.0,24.0,1.0,15
casspom01,2009.0,23.0,1.0,15
catchha01,,,,0
catlete01,1985.0,21.0,1.0,15
catoke01,1997.0,15.0,1.0,15
cattabo01,1981.0,165.0,8.0,15
causwdu01,1990.0,18.0,1.0,15
cebalce01,1990.0,48.0,2.0,15
chalmma01,2008.0,34.0,2.0,15
chambto01,1981.0,8.0,1.0,15
chandty01,2001.0,2.0,1.0,15
chandwi01,2007.0,23.0,1.0,15
chapmre01,1988.0,8.0,1.0,15
cheanca01,1993.0,6.0,1.0,15
cheekma01,1978.0,36.0,2.0,15
chievde01,1988.0,16.0,1.0,15
chilcpe01,1991.0,27.0,1.0,15
childch01,,,,0
childjo01,2004.0,6.0,1.0,15
childra01,1995.0,19.0,1.0,15
choneji01,,,,0
chrisdo01,1992.0,17.0,1.0,15
clarkca01,1983.0,91.0,4.0,15
clarkea01,2009.0,14.0,1.0,15
clarkke01,1998.0,13.0,1.0,15
claxtsp01,2000.0,20.0,1.0,15
cleavma01,2000.0,14.0,1.0,15
closske01,,,,0
colembe01,1984.0,37.0,2.0,15
colemde01,1990.0,1.0,1.0,15
colesbi01,1990.0,40.0,2.0,15
collida01,2009.0,21.0,1.0,15
collido01,,,,0
collido02,1980.0,18.0,1.0,15
collija02,2000.0,15.0,1.0,15
collija03,2001.0,52.0,2.0,15
collija04,2001.0,18.0,1.0,15
collima01,2006.0,29.0,1.0,15
collini01,2003.0,12.0,1.0,15
coltest01,1984.0,33.0,2.0,15
comegda01,1987.0,21.0,1.0,15
conlemi01,2007.0,4.0,1.0,15
conloma01,,,,0
connele01,1982.0,14.0,1.0,15
cookan01,1989.0,24.0,1.0,15
cookbr01,2003.0,24.0,1.0,15
cookda01,1980.0,70.0,4.0,15
cookda02,2007.0,21.0,1.0,15
cookje01,1978.0,49.0,3.0,15
coopedu01,1992.0,36.0,2.0,15
coopemi01,1978.0,60.0,3.0,15
coopewa01,1978.0,40.0,2.0,15
copelho01,1978.0,46.0,3.0,15
corbity01,1985.0,35.0,2.0,15
corchch01,1991.0,36.0,2.0,15
corzida01,1978.0,18.0,1.0,15
courtjo01,,,,0
couside01,2010.0,5.0,1.0,15
cowenda01,,,,0
crawfch01,1997.0,50.0,2.0,15
crawfja01,2000.0,8.0,1.0,15
crawfjo02,2010.0,27.0,1.0,15
crissch01,,,,0
crittja01,2007.0,19.0,1.0,15
crompge01,,,,0
croshau01,1997.0,12.0,1.0,15
crottjo01,,,,0
cummipa01,1978.0,59.0,3.0,15
cummite01,1982.0,2.0,1.0,15
cummivo01,1999.0,26.0,1.0,15
cunnida01,2009.0,33.0,2.0,15
curetea01,1979.0,58.0,3.0,15
curlebi01,1994.0,22.0,1.0,15
curryde01,1986.0,15.0,1.0,15
curryed01,2001.0,4.0,1.0,15
currymi01,,,,0
curryst01,2009.0,7.0,1.0,15
dailequ01,1982.0,7.0,1.0,15
dalemsa01,2001.0,26.0,1.0,15
dampier01,1996.0,10.0,1.0,15
dandrbo01,,,,0
daniean01,1997.0,4.0,1.0,15
daniell01,,,,0
daniema01,,,,0
danilsa01,1992.0,43.0,2.0,15
dantlad01,1976.0,6.0,1.0,15
dareyi01,1994.0,14.0,1.0,15
daughbr01,1986.0,1.0,1.0,15
davidje01,2007.0,36.0,2.0,15
davidko01,,,,0
davisan01,1990.0,45.0,2.0,15
davisba01,1999.0,3.0,1.0,15
davisbr01,1977.0,15.0,1.0,15
davisch02,,,,0
davisda01,1991.0,13.0,1.0,15
davised01,2010.0,13.0,1.0,15
davisem01,,,,0
davisgl01,2007.0,35.0,2.0,15
davishu01,1992.0,20.0,1.0,15
davisjo01,1976.0,22.0,2.0,15
davisjo02,,,,0
davisma02,1995.0,48.0,2.0,15
davispa01,2006.0,34.0,2.0,15
davisri01,1998.0,21.0,1.0,15
daviste01,,,,0
daviswa03,1977.0,5.0,1.0,15
dawkida01,,,,0
dawkijo01,1986.0,10.0,1.0,15
dayeau01,2009.0,15.0,1.0,15
dayeda01,1983.0,57.0,3.0,15
dayto01,1992.0,8.0,1.0,15
declean01,1995.0,34.0,2.0,15
deherte01,1993.0,13.0,1.0,15
delebi01,1991.0,10.0,1.0,15
delfica01,2003.0,25.0,1.0,15
delkto01,1996.0,16.0,1.0,15
delnevi01,1988.0,29.0,2.0,15
demicla01,1979.0,9.0,1.0,15
denglu01,2004.0,7.0,1.0,15
dennake01,1981.0,78.0,4.0,15
derozde01,2009.0,9.0,1.0,15
dialde01,1998.0,52.0,2.0,15
diawaya01,,,,0
diawbo01,2003.0,21.0,1.0,15
dickada01,2002.0,28.0,1.0,15
dickemi01,1998.0,14.0,1.0,15
dienetr01,2005.0,38.0,2.0,15
dietrco01,,,,0
dinkiby01,,,,0
dioguik01,2005.0,9.0,1.0,15
diopde01,2001.0,8.0,1.0,15
divacvl01,1989.0,26.0,1.0,15
dixonju01,2002.0,17.0,1.0,15
doleami01,1998.0,12.0,1.0,15
donalja01,1979.0,73.0,4.0,15
doolike01,2000.0,10.0,1.0,15
dorsejo01,2008.0,33.0,2.0,15
doubyqu01,2006.0,19.0,1.0,15
douglch01,2008.0,40.0,2.0,15
douglle01,1976.0,4.0,1.0,15
douglsh01,1989.0,28.0,2.0,15
douglto01,2009.0,29.0,1.0,15
dragigo01,2008.0,45.0,2.0,15
dreilgr01,1986.0,26.0,2.0,15
drewbr01,1998.0,16.0,1.0,15
drewjo01,,,,0
drewla01,1980.0,17.0,1.0,15
drexlcl01,1983.0,14.0,1.0,15
drobnpr01,,,,0
duckwke01,1986.0,33.0,2.0,15
dudlech02,1987.0,75.0,4.0,15
dudleja01,2007.0,22.0,1.0,15
duerote01,1979.0,48.0,3.0,15
duhonch01,2004.0,38.0,2.0,15
dumarjo01,1985.0,18.0,1.0,15
dumasri02,1991.0,46.0,2.0,15
dumasto01,1994.0,19.0,1.0,15
duncati01,1997.0,1.0,1.0,15
dunlemi01,1976.0,99.0,6.0,15
dunlemi02,2002.0,3.0,1.0,15
dunntr01,1977.0,41.0,2.0,15
duprero01,,,,0
duranke01,2007.0,2.0,1.0,15
durenjo01,1980.0,19.0,1.0,15
eacklle01,1988.0,36.0,2.0,15
earlac01,1993.0,19.0,1.0,15
eatonma01,1982.0,72.0,4.0,15
eavesje01,1982.0,55.0,3.0,15
ebankde01,2010.0,43.0,2.0,15
edmonke01,1982.0,10.0,1.0,15
edneyty01,1995.0,47.0,2.0,15
edwarbl01,1989.0,21.0,1.0,15
edwardo01,1993.0,15.0,1.0,15
edwarfr01,1981.0,22.0,1.0,15
edwarja01,1977.0,46.0,3.0,15
edwarjo01,,,,0
edwarke01,1988.0,20.0,1.0,15
ehlocr01,1983.0,48.0,3.0,15
eisleho01,1994.0,30.0,2.0,15
ekeziob01,1999.0,37.0,2.0,15
eliema01,,,,0
ellinwa01,2009.0,28.0,1.0,15
elliobo01,1977.0,42.0,2.0,15
elliose01,1989.0,3.0,1.0,15
ellisda01,1983.0,9.0,1.0,15
ellisha01,,,,0
ellisla01,1992.0,5.0,1.0,15
ellisle02,1991.0,22.0,1.0,15
ellismo01,2005.0,40.0,2.0,15
ellispe01,1989.0,1.0,1.0,15
elmorle01,,,,0
elsonfr01,,,,0
elyme01,2002.0,12.0,1.0,15
englech01,1982.0,60.0,3.0,15
engliaj01,1990.0,37.0,2.0,15
englial01,1976.0,23.0,2.0,15
englijo01,,,,0
erdense01,2008.0,60.0,2.0,15
ervinju01,,,,0
eschmev01,1999.0,34.0,2.0,15
evansbr01,1996.0,27.0,1.0,15
evansje01,2010.0,55.0,2.0,15
evansma01,,,,0
evansmi01,1978.0,21.0,1.0,15
evansre01,,,,0
evansty01,2009.0,4.0,1.0,15
ewingda01,2005.0,32.0,2.0,15
ewingpa01,1985.0,1.0,1.0,15
eyengch01,2009.0,30.0,1.0,15
farmajo01,2006.0,26.0,1.0,15
farmeji01,1987.0,20.0,1.0,15
farmeto01,,,,0
favorde01,2010.0,3.0,1.0,15
