rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
raw_copula0_latent,2,8,0.06690485519894561,0.9841773832761479,0.9878331297732729,693,983,0.9961464354527937,1.0,False
raw_copula0_latent,3,8,0.03191536351654615,0.9814098189299545,0.9874278636041023,386,778,0.9928571428571428,0.997016706443914,True
raw_copula0_latent,4,8,0.08020802906707512,0.9468246845350545,0.9534721368075103,169,676,0.98,0.9958233890214797,False
raw_copula0_latent,5,8,0.053292487443451005,0.9452238266532027,0.9625829393700526,156,411,0.9788847549492445,0.9916467780429594,False
raw_copula0_latent,6,8,0.22720407508994409,0.7046361092822748,0.7999449617991449,129,378,0.8155555555555557,0.9474940334128878,False
raw_copula0_latent,7,8,0.12488939550457735,0.8013154133681984,0.8496429286937667,129,377,0.920409356725146,0.9683770883054893,False
raw_copula0_latent,8,8,0.14975029387667865,0.7645288697453568,0.8348573007021503,71,354,0.8592055634134842,0.9647971360381862,False
raw_copula0_latent,9,8,0.11449007943575677,0.8027484404131842,0.8545939472339887,70,249,0.8847093382807667,0.9719570405727923,False
raw_copula0_latent,10,8,0.12138994763651907,0.7302968321363164,0.7887177414412354,56,233,0.8409964300447272,0.9385441527446301,False
raw_copula0_latent,11,8,0.1412930573861005,0.6286899019358911,0.7438210957557222,5,213,0.7617460317460316,0.9146778042959427,False
raw_copula0_latent,12,8,0.127334449471022,0.6356290657865625,0.756260258688584,5,238,0.7564898533252964,0.9087112171837709,False
