rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
summary_copula2_latent,2,8,0.05871691661026609,0.9811774144540049,0.9838257278613891,753,923,0.9941612436731743,1.0,False
summary_copula2_latent,3,8,0.12767499020411072,0.8944161804737476,0.9240642704673071,449,643,0.9596301020408163,0.9809069212410502,False
summary_copula2_latent,4,8,0.08110426388344673,0.9332892610127419,0.9495530281664111,268,573,0.9736324786324787,0.9898568019093079,True
summary_copula2_latent,5,8,0.17273893064510384,0.8612666355996563,0.898510353325989,230,399,0.9419837281646327,0.9910501193317423,False
summary_copula2_latent,6,8,0.15708331849107685,0.838192792975401,0.8601699921318078,85,383,0.8958333333333333,0.983890214797136,False
summary_copula2_latent,7,8,0.20219427920065544,0.6804749267084041,0.7944523348894681,83,356,0.7960515873015873,0.9367541766109785,False
summary_copula2_latent,8,8,0.153040287821038,0.7635377549329326,0.8299940681000679,72,308,0.8695749961222274,0.9582338902147971,False
summary_copula2_latent,9,8,0.13720799344565954,0.7510449273924994,0.8098347247768812,74,284,0.8597045068027211,0.9570405727923628,False
summary_copula2_latent,10,8,0.19325116660136074,0.4951083173196685,0.6803598812819881,3,313,0.6504440725798236,0.8120525059665871,False
summary_copula2_latent,11,8,0.19114665336800485,0.4958767300653118,0.6579810855277907,35,257,0.6438943894389438,0.7935560859188544,False
summary_copula2_latent,12,8,0.1751469383393296,0.5567395178700515,0.6872795474862062,35,219,0.696895015316068,0.8424821002386634,False
