rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
raw_null0_latent,2,8,0.02953442809817262,0.9878820026475974,0.9903024350343328,811,865,0.9964197530864196,0.9994033412887828,False
raw_null0_latent,3,8,0.04390410714921811,0.9773051569922709,0.9844124903423436,376,806,0.9916296953564036,0.9976133651551312,True
raw_null0_latent,4,8,0.06474548498557332,0.9489823808504767,0.9657638518895038,253,597,0.9798836863814318,0.9946300715990454,False
raw_null0_latent,5,8,0.13560075517401063,0.9136961340156983,0.9394857227402339,213,493,0.9642504930966468,0.9916467780429594,False
raw_null0_latent,6,8,0.1596843942578278,0.8175185526443064,0.8636667432476716,206,366,0.8820991678692897,0.9826968973747017,False
raw_null0_latent,7,8,0.05753927261069355,0.9332832361372329,0.9509388553834429,126,331,0.9763059163059162,0.997016706443914,False
raw_null0_latent,8,8,0.15862643821465466,0.6790031032866065,0.7813993884545116,122,283,0.7813107282675346,0.9433174224343676,False
raw_null0_latent,9,8,0.13369358458305133,0.7524644322401083,0.8328808002472801,115,244,0.863227690292351,0.9588305489260143,False
raw_null0_latent,10,8,0.1674747978484665,0.6059972972691974,0.7372148327167577,111,246,0.7284475328592975,0.8931980906921241,False
raw_null0_latent,11,8,0.16903786556477754,0.5418300940010691,0.6842983809050364,97,244,0.6905516788352608,0.8633651551312649,False
raw_null0_latent,12,8,0.15747159192106294,0.545647423081069,0.6903047633560786,95,213,0.6865997638724912,0.8597852028639618,False
