rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
raw_latent,2,8,0.025550528978021587,0.9929511891965389,0.9928862281151418,651,1025,0.998486328125,1.0,False
raw_latent,3,8,0.10100594877640437,0.9339986215769972,0.9539378711246966,284,850,0.9655098435133772,0.9916467780429594,True
raw_latent,4,8,0.17245110960709578,0.8659471041979268,0.8939433893258814,148,695,0.9343900096061479,0.9856801909307876,False
raw_latent,5,8,0.07463612723969651,0.9308059738037227,0.9444155782535049,120,411,0.9711382113821139,0.9922434367541766,False
raw_latent,6,8,0.21718020874149538,0.7662057970446903,0.8488450951878285,68,392,0.8428266958957497,0.9701670644391408,False
raw_latent,7,8,0.2238214654650376,0.6550275093760677,0.7745599416017461,61,369,0.7571254723478715,0.9468973747016707,False
raw_latent,8,8,0.10043458127025968,0.8499653998157253,0.8990242823950846,56,322,0.9323218761188685,0.9737470167064439,False
raw_latent,9,8,0.17115733979268336,0.7001514861329095,0.8136038416606232,54,316,0.8161532702782108,0.9289976133651552,False
raw_latent,10,8,0.1369258718341467,0.7132994191784621,0.8010755747236786,52,239,0.8217661691542288,0.931980906921241,False
raw_latent,11,8,0.16494710219784134,0.5997166766331985,0.727958271783406,52,214,0.7407233931824094,0.8818615751789977,False
raw_latent,12,8,0.15710611619705767,0.5503714218256651,0.6969779484504329,38,245,0.700536851302898,0.8335322195704057,False
