config,method,ari_mean_across_ae_seeds,ari_min
"(10, 10, 0.0, 25, 15)",eom,0.3801094090337698,0.265976510064281
"(10, 10, 0.0, 25, 15)",leaf,0.2256245731965448,0.21220591713478168
"(5, 15, 0.0, 30, 10)",eom,0.31263446782995885,0.1561625274442665
"(5, 15, 0.0, 30, 10)",leaf,0.2526297451390936,0.24202594751646572
"(5, 20, 0.0, 22, 7)",eom,0.08740828501258997,0.031671631742023004
"(5, 20, 0.0, 22, 7)",leaf,0.19945579624654008,0.15817746196024116
"(2, 15, 0.0, 40, 5)",eom,0.34036245292029715,0.11820381643152372
"(2, 15, 0.0, 40, 5)",leaf,0.1829613892569131,0.16678160143815424
