rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_nostd,2,40,0.18120899084529618,0.9188790317309746,0.9402599131323164,832,844,0.9649738288708325,0.9880668257756563,False
ae64_latent_nostd,3,40,0.5027471235706907,0.5629990678467901,0.7036766052548028,459,723,0.734246715461513,0.9433174224343676,True
ae64_latent_nostd,4,40,0.46897089730345887,0.5544640519051969,0.6853723521860249,407,435,0.7004774621937906,0.8955847255369929,False
ae64_latent_nostd,5,40,0.39007943575677695,0.554708584483619,0.6857181852544778,218,485,0.7257359036081746,0.8573985680190931,False
ae64_latent_nostd,6,40,0.3633712107719161,0.45933596012464295,0.6151795459220545,215,488,0.6125312525424425,0.7601431980906921,False
ae64_latent_nostd,7,40,0.3438927082962277,0.3996718646231861,0.5815584921288333,125,460,0.5863098028183606,0.7004773269689738,False
ae64_latent_nostd,8,40,0.3063235136964343,0.4503768153426701,0.6299137335176179,92,487,0.5916819719012802,0.6968973747016707,False
ae64_latent_nostd,9,40,0.2810764791792826,0.44083011748981554,0.6166521966862185,107,356,0.5702059437476916,0.6682577565632458,False
ae64_latent_nostd,10,40,0.2601902183592776,0.41414968943428343,0.5940763961532347,94,260,0.5435865116368861,0.5865155131264916,False
ae64_latent_nostd,11,40,0.24106793003953977,0.38948177586665095,0.5740231648660374,83,242,0.5372232940907017,0.5906921241050119,False
ae64_latent_nostd,12,40,0.2250525415880027,0.3368591075893692,0.5251964138452111,10,289,0.4745543330022747,0.45405727923627687,False
