rep,k,members,pac,silhouette_consensus,mean_within_coassoc,min_size,max_size,median_stability,frac_stable,selected
ae64_latent_nogames,2,8,0.04492623892526625,0.9783680252533413,0.9840722973729363,754,931,0.9918330773169483,0.9964391691394658,False
ae64_latent_nogames,3,8,0.10052721723746626,0.9386862027101116,0.9507909934882534,502,653,0.9736609955891619,0.997626112759644,True
ae64_latent_nogames,4,8,0.30401122098719313,0.7117441060789921,0.8090944071196288,294,493,0.7951776035617498,0.9590504451038576,False
ae64_latent_nogames,5,8,0.1541920113901478,0.8573840418945285,0.8862772336154237,258,445,0.9402563277563277,0.9750741839762611,False
ae64_latent_nogames,6,8,0.221851321919691,0.6891959204285519,0.7787836773997499,204,429,0.7888854231648991,0.9359050445103858,False
ae64_latent_nogames,7,8,0.2166883991062681,0.6518975821807479,0.7450482896283331,189,337,0.801880341880342,0.9080118694362018,False
ae64_latent_nogames,8,8,0.16761279136153145,0.7125366779095058,0.8016921609283854,146,274,0.8427083333333333,0.912759643916914,False
ae64_latent_nogames,9,8,0.12369728708670186,0.768597436617909,0.8330983984044649,121,273,0.8863813229571985,0.944213649851632,False
ae64_latent_nogames,10,8,0.1593140537225907,0.6529837403424141,0.7401778300967329,116,242,0.7904761904761903,0.8925816023738873,False
ae64_latent_nogames,11,8,0.16800468011023634,0.5286259703284315,0.6660370365212116,12,306,0.6932258744205646,0.7738872403560831,False
ae64_latent_nogames,12,8,0.1715295643409432,0.5023759722746806,0.657348993356503,89,285,0.6245670995670995,0.7163204747774481,False
